"DATE","RENTED_BIKE_COUNT","TEMPERATURE","HUMIDITY","WIND_SPEED","VISIBILITY","DEW_POINT_TEMPERATURE","SOLAR_RADIATION","RAINFALL","SNOWFALL","FUNCTIONING_DAY","AUTUMN","SPRING","SUMMER","WINTER","HOLIDAY","NO_HOLIDAY","0","1","10","11","12","13","14","15","16","17","18","19","2","20","21","22","23","3","4","5","6","7","8","9"
"01/12/2017",0.0709060213843557,0.22027972027972,0.377551020408163,0.297297297297297,1,0.224913494809689,0,0,0,"Yes",0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01/12/2017",0.0568373663477772,0.215034965034965,0.387755102040816,0.108108108108108,1,0.224913494809689,0,0,0,"Yes",0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01/12/2017",0.0481148002250985,0.206293706293706,0.397959183673469,0.135135135135135,1,0.22318339100346,0,0,0,"Yes",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"01/12/2017",0.0295441755768149,0.202797202797203,0.408163265306122,0.121621621621622,1,0.224913494809689,0,0,0,"Yes",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"01/12/2017",0.0213843556555993,0.206293706293706,0.36734693877551,0.310810810810811,1,0.207612456747405,0,0,0,"Yes",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"01/12/2017",0.0275745638716939,0.199300699300699,0.377551020408163,0.202702702702703,1,0.205882352941177,0,0,0,"Yes",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"01/12/2017",0.050365785030951,0.195804195804196,0.357142857142857,0.175675675675676,1,0.19204152249135,0,0,0,"Yes",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"01/12/2017",0.128868880135059,0.181818181818182,0.387755102040816,0.121621621621622,1,0.195501730103806,0,0,0,"Yes",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"01/12/2017",0.261114237478897,0.178321678321678,0.377551020408163,0.148648648648649,1,0.186851211072664,0.00284090909090909,0,0,"Yes",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"01/12/2017",0.137310073157006,0.197552447552448,0.275510204081633,0.0675675675675676,0.963507349214394,0.141868512110727,0.0653409090909091,0,0,"Yes",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"01/12/2017",0.0948227349465391,0.25,0.244897959183673,0.162162162162162,0.997972630511911,0.162629757785467,0.184659090909091,0,0,"Yes",0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01/12/2017",0.100731570061902,0.302447552447552,0.214285714285714,0.175675675675676,0.967562088190573,0.179930795847751,0.267045454545455,0,0,"Yes",0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01/12/2017",0.125773776027012,0.340909090909091,0.23469387755102,0.189189189189189,1,0.231833910034602,0.315340909090909,0,0,"Yes",0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01/12/2017",0.126336522228475,0.353146853146853,0.255102040816327,0.216216216216216,1,0.259515570934256,0.329545454545455,0,0,"Yes",0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01/12/2017",0.125211029825549,0.363636363636364,0.26530612244898,0.27027027027027,1,0.27681660899654,0.286931818181818,0,0,"Yes",0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01/12/2017",0.129712999437254,0.347902097902098,0.36734693877551,0.432432432432432,1,0.332179930795848,0.153409090909091,0,0,"Yes",0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01/12/2017",0.135621834552617,0.332167832167832,0.551020408163265,0.567567567567568,0.388241256969083,0.408304498269896,0.0681818181818182,0,0,"Yes",0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01/12/2017",0.155599324704558,0.325174825174825,0.591836734693878,0.216216216216216,1,0.416955017301038,0.0227272727272727,0,0,"Yes",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01/12/2017",0.24198086662915,0.321678321678322,0.673469387755102,0.189189189189189,1,0.442906574394464,0,0,0,"Yes",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"01/12/2017",0.168261114237479,0.311188811188811,0.785714285714286,0.22972972972973,1,0.468858131487889,0,0,0,"Yes",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"01/12/2017",0.119302194710186,0.305944055944056,0.806122448979592,0.202702702702703,0.95590471363406,0.468858131487889,0,0,0,"Yes",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"01/12/2017",0.113393359594823,0.297202797202797,0.826530612244898,0.108108108108108,0.84135833755702,0.467128027681661,0,0,0,"Yes",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"01/12/2017",0.111423747889702,0.295454545454545,0.846938775510204,0.202702702702703,0.685757729346173,0.470588235294118,0,0,0,"Yes",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"01/12/2017",0.090320765334834,0.288461538461538,0.857142857142857,0.135135135135135,0.627470856563609,0.467128027681661,0,0,0,"Yes",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"02/12/2017",0.0917276308384918,0.27972027972028,0.887755102040816,0.148648648648649,0.490116573745565,0.467128027681661,0,0,0,"Yes",0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02/12/2017",0.0861001688238604,0.272727272727273,0.877551020408163,0.0810810810810811,0.488089204257476,0.456747404844291,0,0,0,"Yes",0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02/12/2017",0.0731570061902082,0.26048951048951,0.877551020408163,0.202702702702703,0.622909275215408,0.444636678200692,0,0,0,"Yes",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
